scenario,run_id,run_number,commit_sha,step_name,start_timestamp,end_timestamp,duration_seconds,status
C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,install_dependencies,2026-05-26T18:48:07Z,2026-05-26T18:48:16Z,9,success
C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,unit_tests,2026-05-26T18:48:16Z,2026-05-26T18:48:18Z,2,success
C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,docker_build,2026-05-26T18:48:18Z,2026-05-26T18:48:35Z,17,success
C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,kubernetes_deploy,2026-05-26T18:49:07Z,2026-05-26T18:49:35Z,28,success
C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,kubernetes_smoke_test,2026-05-26T18:49:35Z,2026-05-26T18:49:40Z,5,success
C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,workflow_total,2026-05-26T18:48:07Z,2026-05-26T18:49:40Z,93,success
