scenario,run_id,run_number,commit_sha,step_name,start_timestamp,end_timestamp,duration_seconds,status
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,install_dependencies,2026-06-04T18:51:38Z,2026-06-04T18:51:38Z,0,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,unit_tests,2026-06-04T18:51:38Z,2026-06-04T18:51:40Z,2,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sonarqube_sast,2026-06-04T18:51:40Z,2026-06-04T18:51:56Z,16,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,docker_build,2026-06-04T18:51:57Z,2026-06-04T18:52:03Z,6,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sca_fs,2026-06-04T18:52:13Z,2026-06-04T18:52:13Z,0,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sca_image,2026-06-04T18:52:13Z,2026-06-04T18:52:14Z,1,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sca_total,2026-06-04T18:52:13Z,2026-06-04T18:52:14Z,1,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,kubernetes_deploy,2026-06-04T18:52:59Z,2026-06-04T18:53:45Z,46,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,kubernetes_smoke_test,2026-06-04T18:53:45Z,2026-06-04T18:53:50Z,5,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,workflow_total,2026-06-04T18:51:38Z,2026-06-04T18:53:50Z,132,success
