scenario,run_id,run_number,commit_sha,trivy_target,trivy_scan_type,vuln_low,vuln_medium,vuln_high,vuln_critical,total_vulnerabilities
C5-optimized,27225101617,1,5fb08dc42e47e9107c6d537fd0356c9099e8ebbb,filesystem,fs,0,1,0,0,1
C5-optimized,27225101617,1,5fb08dc42e47e9107c6d537fd0356c9099e8ebbb,image,image,63,33,8,2,106
