scenario,run_id,run_number,commit_sha,step_name,start_timestamp,end_timestamp,duration_seconds,status
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,install_dependencies,2026-06-05T22:20:32Z,2026-06-05T22:20:33Z,1,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,unit_tests,2026-06-05T22:20:33Z,2026-06-05T22:20:34Z,1,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,sonarqube_sast,2026-06-05T22:20:34Z,2026-06-05T22:21:05Z,31,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,docker_build,2026-06-05T22:21:05Z,2026-06-05T22:21:08Z,3,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,sca_fs,2026-06-05T22:21:16Z,2026-06-05T22:21:17Z,1,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,sca_image,2026-06-05T22:21:17Z,2026-06-05T22:21:17Z,0,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,sca_total,2026-06-05T22:21:16Z,2026-06-05T22:21:17Z,1,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,kubernetes_deploy,2026-06-05T22:21:52Z,2026-06-05T22:22:35Z,43,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,kubernetes_smoke_test,2026-06-05T22:22:35Z,2026-06-05T22:22:40Z,5,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,dast_health_check,2026-06-05T22:22:45Z,2026-06-05T22:22:45Z,0,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,dast_zap_baseline,2026-06-05T22:22:45Z,2026-06-05T22:23:49Z,64,success
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,workflow_total,2026-06-05T22:20:32Z,2026-06-05T22:23:49Z,197,success
