scenario,run_id,run_number,commit_sha,trivy_target,trivy_scan_type,vuln_low,vuln_medium,vuln_high,vuln_critical,total_vulnerabilities
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,filesystem,fs,0,1,0,0,1
C4-sast-sca-dast,27032348361,2,a324e89326fddb6405018d1d39edf41d3480581d,image,image,63,32,8,2,105
