scenario,run_id,run_number,commit_sha,step_name,start_timestamp,end_timestamp,duration_seconds,status
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,install_dependencies,2026-06-04T18:44:59Z,2026-06-04T18:45:00Z,1,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,unit_tests,2026-06-04T18:45:00Z,2026-06-04T18:45:03Z,3,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sonarqube_sast,2026-06-04T18:45:03Z,2026-06-04T18:45:36Z,33,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,docker_build,2026-06-04T18:45:37Z,2026-06-04T18:45:40Z,3,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sca_fs,2026-06-04T18:45:52Z,2026-06-04T18:45:52Z,0,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sca_image,2026-06-04T18:45:52Z,2026-06-04T18:45:53Z,1,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sca_total,2026-06-04T18:45:52Z,2026-06-04T18:45:53Z,1,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,kubernetes_deploy,2026-06-04T18:46:40Z,2026-06-04T18:47:23Z,43,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,kubernetes_smoke_test,2026-06-04T18:47:23Z,2026-06-04T18:47:28Z,5,success
C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,workflow_total,2026-06-04T18:44:59Z,2026-06-04T18:47:28Z,149,success
