scenario_key,scenario_order,scenario_label,security_layer,run_index,source_file,scenario,run_id,run_number,commit_sha,step_name,start_timestamp,end_timestamp,duration_seconds,status,is_workflow_total,is_security_step,is_deploy_step,is_valid_execution
c1,1,C1 - Baseline,none,4,analysis/raw/c1/timing/c1_run_4.csv,C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,workflow_total,2026-05-26T19:00:10Z,2026-05-26T19:01:42Z,92,success,True,False,False,True
c1,1,C1 - Baseline,none,5,analysis/raw/c1/timing/c1_run_5.csv,C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,docker_build,2026-05-26T19:04:36Z,2026-05-26T19:04:48Z,12,success,False,False,False,True
c1,1,C1 - Baseline,none,5,analysis/raw/c1/timing/c1_run_5.csv,C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,install_dependencies,2026-05-26T19:04:28Z,2026-05-26T19:04:35Z,7,success,False,False,False,True
c1,1,C1 - Baseline,none,5,analysis/raw/c1/timing/c1_run_5.csv,C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,kubernetes_deploy,2026-05-26T19:05:15Z,2026-05-26T19:05:43Z,28,success,False,False,True,True
c1,1,C1 - Baseline,none,5,analysis/raw/c1/timing/c1_run_5.csv,C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,kubernetes_smoke_test,2026-05-26T19:05:43Z,2026-05-26T19:05:48Z,5,success,False,False,True,True
c1,1,C1 - Baseline,none,5,analysis/raw/c1/timing/c1_run_5.csv,C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,unit_tests,2026-05-26T19:04:35Z,2026-05-26T19:04:36Z,1,success,False,False,False,True
c1,1,C1 - Baseline,none,5,analysis/raw/c1/timing/c1_run_5.csv,C1-baseline,26467314674,3,51e9139b6311cd565bf7a83518f66a2daeffd33e,workflow_total,2026-05-26T19:04:28Z,2026-05-26T19:05:48Z,80,success,True,False,False,True
c2,2,C2 - SAST,sast,1,analysis/raw/c2/timing/c2_run_1.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,docker_build,2026-06-03T18:03:01Z,2026-06-03T18:03:04Z,3,success,False,False,False,True
c2,2,C2 - SAST,sast,1,analysis/raw/c2/timing/c2_run_1.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,install_dependencies,2026-06-03T18:02:43Z,2026-06-03T18:02:44Z,1,success,False,False,False,True
c2,2,C2 - SAST,sast,1,analysis/raw/c2/timing/c2_run_1.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,kubernetes_deploy,2026-06-03T18:03:52Z,2026-06-03T18:04:26Z,34,success,False,False,True,True
c2,2,C2 - SAST,sast,1,analysis/raw/c2/timing/c2_run_1.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,kubernetes_smoke_test,2026-06-03T18:04:26Z,2026-06-03T18:04:31Z,5,success,False,False,True,True
c2,2,C2 - SAST,sast,1,analysis/raw/c2/timing/c2_run_1.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,sonarqube_sast,2026-06-03T18:02:45Z,2026-06-03T18:03:01Z,16,success,False,True,False,True
